Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,20:59:44 06/20/2023, CCI,  0.9,----.------,-----.------,-.-,--
0002,20:59:51 06/20/2023, CCI, 22.6,46 55.82137N,017 39.27930E,0.7,12
0003,20:59:55 06/20/2023, CCI, 17.0,46 55.82210N,017 39.27865E,0.8,12
0004,21:00:00 06/20/2023, CCI,  8.5,46 55.82215N,017 39.27775E,0.7,12
0005,21:00:06 06/20/2023, CCI, 20.4,46 55.82199N,017 39.27734E,0.7,12
0006,21:00:14 06/20/2023, CCI, 17.7,46 55.82202N,017 39.27728E,0.7,12
0007,21:00:18 06/20/2023, CCI, 17.2,46 55.82187N,017 39.27739E,0.7,12
0008,21:00:23 06/20/2023, CCI, 23.6,46 55.82171N,017 39.27778E,0.7,12
0009,21:00:30 06/20/2023, CCI, 22.0,46 55.82165N,017 39.27781E,0.7,12
0010,21:00:44 06/20/2023, CCI, 21.9,46 55.82121N,017 39.27796E,0.7,12
0011,21:00:50 06/20/2023, CCI, 19.1,46 55.81848N,017 39.27911E,0.7,12
0012,21:00:54 06/20/2023, CCI, 17.5,46 55.81874N,017 39.27877E,0.7,12
0013,21:00:59 06/20/2023, CCI, 18.9,46 55.81885N,017 39.27880E,0.7,12
0014,21:01:12 06/20/2023, CCI, 11.2,46 55.81952N,017 39.27806E,0.7,12
0015,21:01:15 06/20/2023, CCI, 14.0,46 55.81916N,017 39.27896E,0.7,12
0016,21:01:20 06/20/2023, CCI, 17.5,46 55.81881N,017 39.27947E,0.7,12
0017,21:01:26 06/20/2023, CCI, 17.5,46 55.81877N,017 39.27964E,0.7,12
0018,21:01:31 06/20/2023, CCI, 15.3,46 55.81866N,017 39.27981E,0.7,12
0019,21:01:36 06/20/2023, CCI,  8.1,46 55.81863N,017 39.27950E,0.7,12
0020,21:05:40 06/20/2023, CCI, 11.5,46 55.81843N,017 39.28019E,0.7,12
0021,21:05:44 06/20/2023, CCI,  5.1,46 55.83879N,017 39.31634E,0.8,12
0022,21:05:49 06/20/2023, CCI, 11.9,46 55.83907N,017 39.31597E,0.8,12
0023,21:05:54 06/20/2023, CCI,  6.6,46 55.83917N,017 39.31565E,0.7,12
0024,21:06:03 06/20/2023, CCI,  7.1,46 55.83962N,017 39.31456E,0.8,12
0025,21:06:08 06/20/2023, CCI, 13.4,46 55.83994N,017 39.31479E,0.7,12
0026,21:06:12 06/20/2023, CCI,  8.2,46 55.83974N,017 39.31430E,0.7,12
0027,21:06:17 06/20/2023, CCI, 12.3,46 55.83959N,017 39.31442E,0.7,12
0028,21:06:23 06/20/2023, CCI,  8.3,46 55.83962N,017 39.31357E,0.7,12
0029,21:06:28 06/20/2023, CCI,  6.2,46 55.84010N,017 39.31375E,0.7,12
0030,21:06:33 06/20/2023, CCI,  8.0,46 55.83964N,017 39.31473E,0.7,12
0031,21:06:43 06/20/2023, CCI,  3.7,46 55.83886N,017 39.31533E,0.7,12
0032,21:06:48 06/20/2023, CCI,  8.9,46 55.83810N,017 39.31563E,0.7,12
0033,21:06:53 06/20/2023, CCI, 10.5,46 55.83767N,017 39.31572E,0.7,12
0034,21:06:59 06/20/2023, CCI,  7.2,46 55.83793N,017 39.31609E,0.7,12
0035,21:07:06 06/20/2023, CCI,  8.8,46 55.83828N,017 39.31604E,0.7,12
0036,21:07:10 06/20/2023, CCI,  8.7,46 55.83774N,017 39.31654E,0.7,12
0037,21:07:14 06/20/2023, CCI,  4.5,46 55.83774N,017 39.31611E,0.7,12
0038,21:07:19 06/20/2023, CCI,  4.5,46 55.83779N,017 39.31606E,0.7,12
0039,21:07:24 06/20/2023, CCI,  3.7,46 55.83823N,017 39.31583E,0.7,12
0040,21:08:09 06/20/2023, CCI,  7.6,46 55.83868N,017 39.31609E,0.7,12
0041,21:08:13 06/20/2023, CCI, 19.4,46 55.85172N,017 39.33655E,0.7,12
0042,21:08:18 06/20/2023, CCI, 17.5,46 55.85187N,017 39.33652E,0.7,12
0043,21:08:22 06/20/2023, CCI, 18.4,46 55.85191N,017 39.33651E,0.7,12
0044,21:08:26 06/20/2023, CCI, 11.9,46 55.85157N,017 39.33721E,0.7,12
0045,21:08:31 06/20/2023, CCI, 12.3,46 55.85122N,017 39.33722E,0.7,12
0046,21:08:37 06/20/2023, CCI,  8.0,46 55.85096N,017 39.33774E,0.7,12
0047,21:08:42 06/20/2023, CCI, 14.7,46 55.85172N,017 39.33805E,0.7,12
