Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,12:34:55 10/18/2023, CCI,  5.0,46 54.74186N,017 41.84976E,1.1,09
0002,12:35:02 10/18/2023, CCI,  6.3,46 54.74245N,017 41.84987E,1.1,08
0003,12:35:08 10/18/2023, CCI,  6.6,46 54.74217N,017 41.84919E,1.1,08
0004,12:35:18 10/18/2023, CCI, 13.0,46 54.74196N,017 41.84784E,1.1,08
0005,12:35:22 10/18/2023, CCI,  2.0,46 54.74258N,017 41.84800E,1.1,09
0006,12:35:38 10/18/2023, CCI,  4.1,46 54.74213N,017 41.85049E,1.1,09
0007,12:35:46 10/18/2023, CCI, 12.4,46 54.74172N,017 41.85114E,1.1,09
0008,12:35:48 10/18/2023, CCI,  3.0,46 54.74127N,017 41.85072E,1.1,08
0009,12:36:05 10/18/2023, CCI,  6.7,46 54.74140N,017 41.84955E,1.1,09
0010,12:36:18 10/18/2023, CCI,  2.3,46 54.74190N,017 41.85056E,1.1,08
0011,12:36:41 10/18/2023, CCI,  4.9,46 54.74238N,017 41.84941E,1.1,08
0012,12:36:51 10/18/2023, CCI,  3.1,46 54.74226N,017 41.85018E,1.1,09
0013,12:36:55 10/18/2023, CCI,  4.0,46 54.74168N,017 41.84897E,1.1,09
0014,12:37:02 10/18/2023, CCI, 20.4,46 54.74133N,017 41.84882E,1.1,09
0015,12:37:19 10/18/2023, CCI, 17.9,46 54.74090N,017 41.84626E,1.1,09
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,12:38:07 10/18/2023, CCI,  5.6,46 54.73422N,017 41.80416E,1.1,09
0002,12:38:10 10/18/2023, CCI, 15.9,46 54.73548N,017 41.80455E,1.1,09
0003,12:38:14 10/18/2023, CCI, 22.8,46 54.73529N,017 41.80423E,1.1,09
0004,12:38:22 10/18/2023, CCI,  3.1,46 54.73491N,017 41.80353E,1.1,09
0005,12:38:29 10/18/2023, CCI, 14.5,46 54.73467N,017 41.80380E,1.1,09
0006,12:38:41 10/18/2023, CCI, 15.9,46 54.73409N,017 41.80371E,1.1,09
0007,12:39:01 10/18/2023, CCI,  8.8,46 54.73491N,017 41.80207E,1.1,09
0008,12:39:13 10/18/2023, CCI, 11.4,46 54.73358N,017 41.80536E,1.1,09
0009,12:39:30 10/18/2023, CCI, 10.0,46 54.73387N,017 41.80359E,1.1,09
0010,12:39:48 10/18/2023, CCI,  1.7,46 54.73397N,017 41.80365E,1.1,09
0011,12:40:06 10/18/2023, CCI, 35.0,46 54.73448N,017 41.80118E,1.1,09
0012,12:40:17 10/18/2023, CCI, 13.9,46 54.73398N,017 41.80121E,1.1,09
0013,12:40:29 10/18/2023, CCI,  9.0,46 54.73466N,017 41.80166E,1.0,09
0014,12:40:39 10/18/2023, CCI, 14.3,46 54.73389N,017 41.79998E,1.0,09
0015,12:40:53 10/18/2023, CCI,  6.8,46 54.73445N,017 41.79986E,1.0,09
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,12:43:03 10/18/2023, CCI,  4.4,46 54.76683N,017 41.83488E,1.1,08
0002,12:43:16 10/18/2023, CCI,  4.9,46 54.76855N,017 41.83404E,1.0,09
0003,12:43:28 10/18/2023, CCI, 54.8,46 54.76930N,017 41.83654E,1.0,09
0004,12:43:38 10/18/2023, CCI,  6.6,46 54.76784N,017 41.83650E,1.1,08
0005,12:43:54 10/18/2023, CCI, 20.2,46 54.76987N,017 41.83554E,1.0,09
0006,12:43:58 10/18/2023, CCI, 22.5,46 54.77072N,017 41.83745E,1.0,09
0007,12:44:10 10/18/2023, CCI, 21.0,46 54.77048N,017 41.83796E,1.1,08
0008,12:44:25 10/18/2023, CCI, 22.2,46 54.77095N,017 41.83766E,1.0,09
0009,12:44:35 10/18/2023, CCI, 16.0,46 54.77125N,017 41.83724E,1.0,09
0010,12:44:48 10/18/2023, CCI, 11.6,46 54.77028N,017 41.83857E,1.1,08
0011,12:44:54 10/18/2023, CCI, 12.1,46 54.76794N,017 41.83873E,1.0,09
0012,12:45:00 10/18/2023, CCI, 18.1,46 54.76782N,017 41.83736E,1.1,08
0013,12:45:04 10/18/2023, CCI,  8.0,46 54.76831N,017 41.83595E,1.0,09
0014,12:45:23 10/18/2023, CCI,  8.0,46 54.76798N,017 41.83735E,1.0,09
0015,12:45:33 10/18/2023, CCI, 10.9,46 54.76581N,017 41.83685E,1.0,09
0016,12:45:37 10/18/2023, CCI, 18.2,46 54.76365N,017 41.83585E,1.1,08
0017,12:45:48 10/18/2023, CCI, 20.8,46 54.76407N,017 41.83496E,1.0,09
0018,12:46:02 10/18/2023, CCI, 24.8,46 54.76527N,017 41.83191E,1.0,09
0019,12:46:08 10/18/2023, CCI, 17.4,46 54.76661N,017 41.82889E,1.0,09
0020,12:47:43 10/18/2023, CCI, 15.7,46 54.76733N,017 41.82944E,1.0,09
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,12:48:58 10/18/2023, CCI,  6.3,46 54.77523N,017 41.81122E,1.0,09
0002,12:49:08 10/18/2023, CCI, 42.3,46 54.77549N,017 41.80981E,1.0,09
0003,12:49:16 10/18/2023, CCI, 10.8,46 54.77478N,017 41.80713E,1.0,09
0004,12:49:26 10/18/2023, CCI,  6.8,46 54.77442N,017 41.80723E,1.0,09
0005,12:49:33 10/18/2023, CCI,  9.7,46 54.77410N,017 41.80733E,1.0,09
0006,12:49:42 10/18/2023, CCI, 12.6,46 54.77483N,017 41.80615E,1.0,09
0007,12:49:46 10/18/2023, CCI, 15.2,46 54.77801N,017 41.80506E,1.0,09
0008,12:49:51 10/18/2023, CCI,  7.3,46 54.77685N,017 41.80449E,1.0,09
0009,12:50:03 10/18/2023, CCI, 16.5,46 54.77464N,017 41.80391E,1.0,09
0010,12:50:13 10/18/2023, CCI,  6.8,46 54.77278N,017 41.80556E,1.0,09
0011,12:50:17 10/18/2023, CCI, 11.8,46 54.77199N,017 41.80586E,1.0,09
0012,12:50:24 10/18/2023, CCI, 14.5,46 54.77200N,017 41.80531E,1.0,09
0013,12:50:30 10/18/2023, CCI, 18.7,46 54.77287N,017 41.80609E,1.0,09
0014,12:50:49 10/18/2023, CCI, 28.9,46 54.77289N,017 41.80658E,1.1,08
0015,12:51:00 10/18/2023, CCI,  2.0,46 54.77374N,017 41.80768E,1.0,09
0016,12:51:06 10/18/2023, CCI,  9.1,46 54.77419N,017 41.80669E,1.1,08
0017,12:51:13 10/18/2023, CCI,  7.3,46 54.77350N,017 41.80683E,1.0,09
0018,12:51:20 10/18/2023, CCI, 18.3,46 54.77252N,017 41.80690E,1.0,09
0019,12:51:31 10/18/2023, CCI, 16.4,46 54.77169N,017 41.80808E,1.0,09
0020,12:51:34 10/18/2023, CCI,  7.4,46 54.77242N,017 41.80899E,1.0,09
