Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,12:31:40 09/28/2023, CCI,  2.5,----.------,-----.------,-.-,--
0002,12:31:48 09/28/2023, CCI,  1.1,46 54.74297N,017 41.84781E,4.3,03
0003,12:31:53 09/28/2023, CCI,  3.5,46 54.74325N,017 41.84925E,2.2,05
0004,12:31:59 09/28/2023, CCI,  2.3,46 54.74151N,017 41.85185E,2.2,05
0005,12:32:05 09/28/2023, CCI, 32.0,46 54.73552N,017 41.85489E,2.2,05
0006,12:32:52 09/28/2023, CCI, 63.7,46 54.73999N,017 41.84645E,2.1,06
0007,12:32:55 09/28/2023, CCI, 17.5,46 54.73880N,017 41.84585E,2.1,06
0008,12:33:06 09/28/2023, CCI,  1.8,46 54.73780N,017 41.84490E,2.1,06
0009,12:33:17 09/28/2023, CCI,  2.5,46 54.73815N,017 41.84559E,2.1,06
0010,12:33:20 09/28/2023, CCI, 15.2,46 54.73769N,017 41.84541E,2.1,06
0011,12:33:43 09/28/2023, CCI, 14.1,46 54.73801N,017 41.84703E,1.3,07
0012,12:33:54 09/28/2023, CCI, 16.1,46 54.73826N,017 41.84725E,2.1,06
0013,12:34:03 09/28/2023, CCI,  5.1,46 54.73572N,017 41.84686E,2.1,06
0014,12:34:14 09/28/2023, CCI, 30.8,46 54.73721N,017 41.85160E,1.3,07
0015,12:34:28 09/28/2023, CCI,  7.6,46 54.73926N,017 41.85580E,2.1,06
0016,12:34:40 09/28/2023, CCI,  5.9,46 54.74014N,017 41.85387E,1.3,07
0017,12:34:44 09/28/2023, CCI,  8.3,46 54.74226N,017 41.85060E,2.1,06
0018,12:34:56 09/28/2023, CCI,  3.6,46 54.74317N,017 41.85000E,2.1,06
0019,12:35:22 09/28/2023, CCI, 17.8,46 54.74446N,017 41.85102E,1.3,07
0020,12:36:21 09/28/2023, CCI,  3.7,46 54.74178N,017 41.84488E,2.2,06
0021,12:36:30 09/28/2023, CCI, 36.7,46 54.73022N,017 41.80666E,1.3,07
0022,12:36:36 09/28/2023, CCI, 36.1,46 54.73083N,017 41.80614E,1.3,07
0023,12:36:50 09/28/2023, CCI, 14.4,46 54.72897N,017 41.80654E,1.3,07
0024,12:36:54 09/28/2023, CCI,  3.2,46 54.72864N,017 41.80744E,1.3,06
0025,12:36:57 09/28/2023, CCI,  2.2,46 54.72880N,017 41.80706E,1.3,07
0026,12:37:13 09/28/2023, CCI,  4.0,46 54.72892N,017 41.80657E,1.3,07
0027,12:37:22 09/28/2023, CCI, 10.0,46 54.73140N,017 41.80432E,1.0,09
0028,12:37:35 09/28/2023, CCI, 46.4,46 54.73238N,017 41.80576E,1.0,09
0029,12:37:39 09/28/2023, CCI, 14.9,46 54.73283N,017 41.80357E,1.0,09
0030,12:37:57 09/28/2023, CCI, 15.5,46 54.73328N,017 41.80329E,1.0,09
