Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,09:07:37 08/17/2023, CCI, 17.7,46 55.82009N,017 39.28189E,0.6,12
0002,09:07:40 08/17/2023, CCI, 15.3,46 55.81998N,017 39.28224E,0.6,12
0003,09:07:49 08/17/2023, CCI, 17.9,46 55.81994N,017 39.28203E,0.7,12
0004,09:07:52 08/17/2023, CCI, 13.0,46 55.81974N,017 39.28207E,0.7,12
0005,09:07:59 08/17/2023, CCI, 13.7,46 55.82035N,017 39.28166E,0.7,12
0006,09:08:03 08/17/2023, CCI, 13.5,46 55.82085N,017 39.28138E,0.7,12
0007,09:08:08 08/17/2023, CCI, 21.1,46 55.82085N,017 39.28175E,0.6,12
0008,09:08:12 08/17/2023, CCI, 18.5,46 55.82118N,017 39.28081E,0.7,12
0009,09:08:17 08/17/2023, CCI, 17.0,46 55.82174N,017 39.28075E,0.8,12
0010,09:08:21 08/17/2023, CCI, 14.8,46 55.82137N,017 39.28015E,0.7,12
0011,09:08:29 08/17/2023, CCI, 20.0,46 55.82144N,017 39.28059E,0.6,12
0012,09:08:35 08/17/2023, CCI,  8.5,46 55.82071N,017 39.28085E,0.6,12
0013,09:08:43 08/17/2023, CCI, 16.5,46 55.81973N,017 39.28117E,0.6,12
0014,09:09:04 08/17/2023, CCI, 11.6,46 55.81976N,017 39.28197E,0.7,12
0015,09:09:11 08/17/2023, CCI, 18.0,46 55.81943N,017 39.28181E,0.7,12
0016,09:09:20 08/17/2023, CCI, 19.3,46 55.81958N,017 39.28221E,0.7,12
0017,09:09:25 08/17/2023, CCI, 16.7,46 55.81771N,017 39.28245E,0.7,12
0018,09:09:29 08/17/2023, CCI, 16.1,46 55.81844N,017 39.28213E,0.6,12
0019,09:09:34 08/17/2023, CCI, 15.3,46 55.81857N,017 39.28237E,0.6,12
0020,09:09:48 08/17/2023, CCI, 20.7,46 55.81889N,017 39.28242E,0.6,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,09:10:07 08/17/2023, CCI, 20.5,46 55.81938N,017 39.28200E,0.7,12
0002,09:10:11 08/17/2023, CCI, 12.9,46 55.81963N,017 39.28237E,0.7,12
0003,09:10:20 08/17/2023, CCI, 20.0,46 55.82010N,017 39.28245E,0.7,12
0004,09:10:30 08/17/2023, CCI,  9.5,46 55.82105N,017 39.28176E,0.7,12
0005,09:10:44 08/17/2023, CCI, 15.5,46 55.82069N,017 39.28172E,0.6,12
0006,09:10:58 08/17/2023, CCI, 17.0,46 55.82121N,017 39.28230E,0.7,12
0007,09:11:03 08/17/2023, CCI, 12.2,46 55.82043N,017 39.28268E,0.7,12
0008,09:11:08 08/17/2023, CCI, 13.9,46 55.82037N,017 39.28299E,0.7,12
0009,09:11:18 08/17/2023, CCI,  5.3,46 55.82078N,017 39.28294E,0.7,12
0010,09:11:33 08/17/2023, CCI, 28.1,46 55.82108N,017 39.28147E,0.7,12
0011,09:11:46 08/17/2023, CCI, 15.1,46 55.82050N,017 39.28132E,0.7,12
0012,09:11:59 08/17/2023, CCI, 21.1,46 55.82029N,017 39.28087E,0.7,12
0013,09:12:16 08/17/2023, CCI, 15.6,46 55.81963N,017 39.28142E,0.7,12
0014,09:12:22 08/17/2023, CCI, 12.5,46 55.81996N,017 39.28197E,0.7,12
0015,09:12:32 08/17/2023, CCI, 12.6,46 55.82002N,017 39.28202E,0.7,12
0016,09:12:53 08/17/2023, CCI,  5.2,46 55.82041N,017 39.28195E,0.7,12
0017,09:13:01 08/17/2023, CCI, 19.2,46 55.81927N,017 39.28199E,0.7,12
0018,09:13:08 08/17/2023, CCI, 11.0,46 55.81931N,017 39.28232E,0.7,12
0019,09:13:15 08/17/2023, CCI, 19.8,46 55.81967N,017 39.28248E,0.7,12
0020,09:13:18 08/17/2023, CCI, 17.9,46 55.81957N,017 39.28235E,0.7,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,09:14:44 08/17/2023, CCI, 13.3,46 55.84099N,017 39.31259E,0.7,12
0002,09:14:48 08/17/2023, CCI,  6.3,46 55.84130N,017 39.31296E,0.7,12
0003,09:14:53 08/17/2023, CCI, 10.5,46 55.84104N,017 39.31320E,0.7,12
0004,09:14:57 08/17/2023, CCI, 12.2,46 55.84117N,017 39.31343E,0.7,12
0005,09:15:01 08/17/2023, CCI, 11.7,46 55.84072N,017 39.31401E,0.7,12
0006,09:15:09 08/17/2023, CCI,  7.5,46 55.83972N,017 39.31439E,0.7,12
0007,09:15:13 08/17/2023, CCI, 14.0,46 55.83985N,017 39.31422E,0.7,12
0008,09:15:21 08/17/2023, CCI, 11.6,46 55.83977N,017 39.31492E,0.7,12
0009,09:15:25 08/17/2023, CCI, 17.0,46 55.83957N,017 39.31496E,0.7,12
0010,09:15:30 08/17/2023, CCI, 16.6,46 55.83938N,017 39.31484E,0.7,12
