Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,02:00:34 06/07/2023,Gnrc,100.7,46 55.59612N,017 40.94242E,0.9,11
0002,02:00:43 06/07/2023,Gnrc,215.7,46 55.59619N,017 40.94271E,0.9,11
0003,02:00:53 06/07/2023,Gnrc,145.5,46 55.59614N,017 40.94240E,0.9,11
0004,02:00:59 06/07/2023,Gnrc,141.2,46 55.59573N,017 40.94218E,0.9,11
0005,02:01:12 06/07/2023,Gnrc,168.6,46 55.59634N,017 40.94239E,0.9,11
0006,02:01:21 06/07/2023,Gnrc,108.6,46 55.59678N,017 40.94190E,0.9,11
0007,02:01:30 06/07/2023,Gnrc, 34.9,46 55.59725N,017 40.94248E,0.9,11
0008,02:01:37 06/07/2023,Gnrc,170.7,46 55.59658N,017 40.94082E,0.9,11
0009,02:01:51 06/07/2023,Gnrc, 61.2,46 55.59690N,017 40.94076E,0.9,10
0010,02:03:13 06/07/2023,Gnrc,124.4,46 55.59754N,017 40.94103E,0.9,11
0011,02:03:47 06/07/2023,Gnrc,103.4,46 55.57669N,017 40.95874E,1.3,11
0012,02:03:55 06/07/2023,Gnrc, 34.9,46 55.57656N,017 40.95988E,0.9,11
0013,02:04:01 06/07/2023,Gnrc, 50.7,46 55.57646N,017 40.96026E,0.9,11
0014,02:04:13 06/07/2023,Gnrc, 34.9,46 55.57619N,017 40.96064E,0.9,11
0015,02:04:43 06/07/2023,Gnrc,103.4,46 55.57684N,017 40.96063E,0.9,11
0016,02:04:58 06/07/2023,Gnrc, 24.3,46 55.57711N,017 40.96134E,0.9,11
0017,02:05:11 06/07/2023,Gnrc,111.2,46 55.57642N,017 40.96066E,0.9,11
0018,02:05:17 06/07/2023,Gnrc, 61.2,46 55.57598N,017 40.96070E,0.9,11
0019,02:05:28 06/07/2023,Gnrc, 89.3,46 55.57622N,017 40.96041E,0.9,11
