Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:19:41 07/17/2023, CCI,  1.3,46 54.74079N,017 41.85409E,3.5,05
0002,10:19:45 07/17/2023, CCI,  2.4,46 54.74052N,017 41.85330E,3.5,05
0003,10:19:50 07/17/2023, CCI,  2.7,46 54.74103N,017 41.85366E,3.5,05
0004,10:19:56 07/17/2023, CCI, 12.3,46 54.74045N,017 41.85308E,3.5,05
0005,10:20:05 07/17/2023, CCI,  1.5,46 54.74049N,017 41.85255E,3.5,05
0006,10:20:08 07/17/2023, CCI,  9.2,46 54.74101N,017 41.85213E,3.5,05
0007,10:20:11 07/17/2023, CCI,  4.4,46 54.74126N,017 41.85270E,3.5,05
0008,10:20:20 07/17/2023, CCI,  1.8,46 54.74009N,017 41.85225E,3.8,04
0009,10:20:34 07/17/2023, CCI,  7.7,46 54.73678N,017 41.85014E,3.5,05
0010,10:20:41 07/17/2023, CCI, 11.6,46 54.73620N,017 41.85118E,3.5,05
0011,10:21:16 07/17/2023, CCI, 35.0,46 54.73888N,017 41.85221E,2.6,07
0012,10:21:27 07/17/2023, CCI,  6.6,46 54.73859N,017 41.85237E,2.6,07
0013,10:21:41 07/17/2023, CCI, 51.3,46 54.73948N,017 41.84811E,2.6,07
0014,10:21:49 07/17/2023, CCI,  4.4,46 54.74088N,017 41.84835E,2.6,07
0015,10:22:03 07/17/2023, CCI,  2.0,46 54.73995N,017 41.84722E,3.5,05
0016,10:22:07 07/17/2023, CCI, 12.4,46 54.74039N,017 41.84930E,2.7,06
0017,10:22:12 07/17/2023, CCI, 16.4,46 54.74110N,017 41.84962E,2.7,06
0018,10:22:18 07/17/2023, CCI,  7.6,46 54.74084N,017 41.84989E,2.7,06
0019,10:22:34 07/17/2023, CCI,  8.8,46 54.74030N,017 41.84904E,2.8,06
0020,10:23:01 07/17/2023, CCI, 16.1,46 54.74405N,017 41.85246E,1.6,07
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:23:48 07/17/2023, CCI,  3.7,46 54.73308N,017 41.80759E,1.6,07
0002,10:23:52 07/17/2023, CCI,  1.6,46 54.73300N,017 41.80901E,1.6,07
0003,10:24:02 07/17/2023, CCI,  4.9,46 54.73286N,017 41.80760E,1.6,07
0004,10:24:06 07/17/2023, CCI,  1.9,46 54.73310N,017 41.80771E,1.6,07
0005,10:24:16 07/17/2023, CCI,  5.2,46 54.73245N,017 41.80651E,1.6,07
0006,10:24:20 07/17/2023, CCI,  4.4,46 54.73261N,017 41.80624E,1.6,07
0007,10:24:28 07/17/2023, CCI, 14.3,46 54.73210N,017 41.80588E,1.6,07
0008,10:24:35 07/17/2023, CCI, 25.2,46 54.73106N,017 41.80712E,1.6,07
0009,10:24:43 07/17/2023, CCI, 11.5,46 54.73131N,017 41.80723E,1.6,07
0010,10:24:47 07/17/2023, CCI,  3.4,46 54.73295N,017 41.80688E,1.6,07
0011,10:24:54 07/17/2023, CCI, 16.4,46 54.73300N,017 41.80677E,1.6,07
0012,10:25:05 07/17/2023, CCI, 33.7,46 54.73331N,017 41.80696E,1.6,07
0013,10:25:11 07/17/2023, CCI,  3.1,46 54.73337N,017 41.80626E,1.6,07
0014,10:25:27 07/17/2023, CCI,  6.7,46 54.73317N,017 41.80547E,1.6,07
0015,10:25:43 07/17/2023, CCI, 36.3,46 54.73268N,017 41.80640E,1.6,07
0016,10:25:48 07/17/2023, CCI,  5.9,46 54.73275N,017 41.80649E,1.6,07
0017,10:25:57 07/17/2023, CCI,  0.1,46 54.73270N,017 41.80711E,1.6,07
0018,10:26:05 07/17/2023, CCI, 21.4,46 54.73225N,017 41.80301E,1.6,07
0019,10:26:10 07/17/2023, CCI, 31.4,46 54.73293N,017 41.80316E,1.9,06
0020,10:26:13 07/17/2023, CCI, 17.4,46 54.73312N,017 41.80335E,1.6,07
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:43:40 07/17/2023, CCI, 17.0,46 54.76834N,017 41.83350E,0.8,12
0002,10:43:48 07/17/2023, CCI, 12.3,46 54.76698N,017 41.83295E,0.9,11
0003,10:44:00 07/17/2023, CCI,  9.8,46 54.76674N,017 41.83299E,0.9,12
0004,10:44:03 07/17/2023, CCI, 11.1,46 54.76900N,017 41.83342E,0.9,12
0005,10:44:13 07/17/2023, CCI, 31.3,46 54.76919N,017 41.83362E,1.0,10
0006,10:44:17 07/17/2023, CCI, 18.3,46 54.76877N,017 41.83391E,0.8,12
0007,10:44:22 07/17/2023, CCI, 19.1,46 54.76881N,017 41.83399E,0.9,12
0008,10:44:25 07/17/2023, CCI, 17.4,46 54.76917N,017 41.83317E,0.8,12
0009,10:44:30 07/17/2023, CCI, 18.2,46 54.76789N,017 41.83405E,1.0,12
0010,10:44:36 07/17/2023, CCI, 19.0,46 54.76775N,017 41.83464E,1.0,12
0011,10:44:55 07/17/2023, CCI, 17.4,46 54.76767N,017 41.83293E,1.0,12
0012,10:44:59 07/17/2023, CCI, 28.6,46 54.76799N,017 41.83504E,0.9,12
0013,10:45:02 07/17/2023, CCI, 28.9,46 54.76865N,017 41.83319E,0.9,11
0014,10:45:07 07/17/2023, CCI, 26.9,46 54.77048N,017 41.83256E,0.9,10
0015,10:45:26 07/17/2023, CCI, 12.4,46 54.77070N,017 41.83334E,0.9,11
0016,10:45:32 07/17/2023, CCI, 15.7,46 54.77157N,017 41.82950E,0.8,12
0017,10:45:39 07/17/2023, CCI, 22.7,46 54.77155N,017 41.82831E,0.8,12
