Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,09:19:45 08/03/2023, CCI, 15.5,----.------,-----.------,-.-,--
0002,09:19:48 08/03/2023, CCI, 17.1,----.------,-----.------,-.-,--
0003,09:19:52 08/03/2023, CCI, 19.7,----.------,-----.------,-.-,--
0004,09:19:55 08/03/2023, CCI, 14.3,----.------,-----.------,-.-,--
0005,09:20:00 08/03/2023, CCI, 15.3,----.------,-----.------,-.-,--
0006,09:20:05 08/03/2023, CCI, 14.3,----.------,-----.------,-.-,--
0007,09:20:08 08/03/2023, CCI, 19.7,----.------,-----.------,-.-,--
0008,09:20:13 08/03/2023, CCI, 15.7,----.------,-----.------,-.-,--
0009,09:20:18 08/03/2023, CCI, 23.4,----.------,-----.------,-.-,--
0010,09:20:23 08/03/2023, CCI, 15.9,----.------,-----.------,-.-,--
0011,09:20:32 08/03/2023, CCI, 15.8,----.------,-----.------,-.-,--
0012,09:20:35 08/03/2023, CCI, 15.6,----.------,-----.------,-.-,--
0013,09:20:39 08/03/2023, CCI, 12.8,----.------,-----.------,-.-,--
0014,09:20:43 08/03/2023, CCI, 14.1,----.------,-----.------,-.-,--
0015,09:20:47 08/03/2023, CCI, 17.6,----.------,-----.------,-.-,--
0016,09:20:51 08/03/2023, CCI, 16.5,----.------,-----.------,-.-,--
0017,09:20:57 08/03/2023, CCI, 12.8,----.------,-----.------,-.-,--
0018,09:21:02 08/03/2023, CCI, 13.4,----.------,-----.------,-.-,--
0019,09:21:08 08/03/2023, CCI, 13.3,----.------,-----.------,-.-,--
0020,09:21:12 08/03/2023, CCI, 12.0,----.------,-----.------,-.-,--
0021,09:21:17 08/03/2023, CCI, 14.1,----.------,-----.------,-.-,--
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,09:23:56 08/03/2023, CCI, 11.5,46 55.84079N,017 39.31283E,0.8,11
0002,09:23:59 08/03/2023, CCI,  9.3,46 55.84072N,017 39.31315E,0.8,11
0003,09:24:02 08/03/2023, CCI, 10.0,46 55.84060N,017 39.31353E,0.8,11
0004,09:24:06 08/03/2023, CCI, 10.5,46 55.84059N,017 39.31395E,0.9,11
0005,09:24:09 08/03/2023, CCI,  9.3,46 55.84062N,017 39.31376E,0.9,11
0006,09:24:13 08/03/2023, CCI, 10.1,46 55.84058N,017 39.31376E,0.9,11
0007,09:24:16 08/03/2023, CCI, 11.4,46 55.84036N,017 39.31371E,0.8,11
0008,09:24:21 08/03/2023, CCI, 10.5,46 55.84030N,017 39.31386E,0.9,11
0009,09:24:26 08/03/2023, CCI, 12.1,46 55.83996N,017 39.31478E,0.9,11
0010,09:24:30 08/03/2023, CCI, 12.2,46 55.84023N,017 39.31468E,0.9,11
0011,09:24:33 08/03/2023, CCI, 17.9,46 55.83973N,017 39.31511E,0.9,10
0012,09:24:36 08/03/2023, CCI, 16.2,46 55.83940N,017 39.31567E,0.9,11
0013,09:24:40 08/03/2023, CCI,  9.2,46 55.83920N,017 39.31609E,0.9,10
0014,09:24:43 08/03/2023, CCI, 14.1,46 55.83926N,017 39.31622E,0.9,10
0015,09:24:48 08/03/2023, CCI, 19.3,46 55.83914N,017 39.31636E,0.9,10
0016,09:24:53 08/03/2023, CCI, 15.1,46 55.83885N,017 39.31738E,0.9,10
0017,09:24:56 08/03/2023, CCI,  9.2,46 55.83847N,017 39.31749E,0.9,10
0018,09:25:01 08/03/2023, CCI, 14.2,46 55.83825N,017 39.31801E,0.9,10
0019,09:25:05 08/03/2023, CCI,  6.7,46 55.83872N,017 39.31765E,0.9,10
0020,09:25:09 08/03/2023, CCI, 15.1,46 55.83877N,017 39.31775E,0.9,10
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,09:25:44 08/03/2023, CCI, 16.5,46 55.85191N,017 39.33732E,0.8,11
0002,09:25:51 08/03/2023, CCI, 12.8,46 55.85213N,017 39.33718E,0.9,11
0003,09:25:56 08/03/2023, CCI, 15.9,46 55.85201N,017 39.33717E,0.9,11
0004,09:25:59 08/03/2023, CCI, 18.4,46 55.85202N,017 39.33737E,0.9,11
0005,09:26:02 08/03/2023, CCI, 25.6,46 55.85201N,017 39.33732E,0.9,11
0006,09:26:05 08/03/2023, CCI, 19.2,46 55.85202N,017 39.33706E,0.9,11
0007,09:26:09 08/03/2023, CCI, 15.2,46 55.85202N,017 39.33688E,0.9,11
0008,09:26:13 08/03/2023, CCI, 22.9,46 55.85195N,017 39.33651E,0.8,11
0009,09:26:18 08/03/2023, CCI, 11.9,46 55.85185N,017 39.33629E,0.9,11
0010,09:26:22 08/03/2023, CCI, 19.2,46 55.85165N,017 39.33665E,0.9,11
0011,09:26:28 08/03/2023, CCI, 13.4,46 55.85158N,017 39.33723E,0.9,11
0012,09:26:32 08/03/2023, CCI, 16.3,46 55.85100N,017 39.33791E,0.9,11
0013,09:26:36 08/03/2023, CCI, 19.1,46 55.85077N,017 39.33772E,0.9,11
