Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,13:01:58 07/20/2023, CCI, 29.3,46 55.57232N,017 39.45525E,0.7,12
0002,13:02:29 07/20/2023, CCI, 18.6,46 55.57105N,017 39.45579E,0.7,12
0003,13:02:48 07/20/2023, CCI,  0.9,46 55.57124N,017 39.45623E,0.7,12
0004,13:03:46 07/20/2023, CCI, 18.7,46 55.57217N,017 39.45838E,0.7,12
0005,13:04:03 07/20/2023, CCI,  3.1,46 55.56892N,017 39.45645E,0.7,12
0006,13:04:10 07/20/2023, CCI,  1.4,46 55.56756N,017 39.45694E,0.7,12
0007,13:04:32 07/20/2023, CCI, 56.0,46 55.56344N,017 39.45796E,0.7,12
0008,13:04:48 07/20/2023, CCI, 12.6,46 55.56255N,017 39.45791E,0.7,12
0009,13:05:07 07/20/2023, CCI,  2.2,46 55.56564N,017 39.45838E,0.7,12
0010,13:05:32 07/20/2023, CCI, 64.5,46 55.56756N,017 39.45685E,0.7,12
0011,13:05:41 07/20/2023, CCI,  1.0,46 55.56650N,017 39.45731E,0.7,12
0012,13:05:54 07/20/2023, CCI, 22.2,46 55.56655N,017 39.45765E,0.7,12
0013,13:05:57 07/20/2023, CCI,  9.9,46 55.56636N,017 39.45834E,0.7,12
0014,13:06:08 07/20/2023, CCI, 74.0,46 55.56709N,017 39.45780E,0.7,12
0015,13:06:18 07/20/2023, CCI,116.4,46 55.56709N,017 39.45780E,0.7,12
0016,13:06:21 07/20/2023, CCI,  1.6,46 55.56962N,017 39.45672E,0.7,12
0017,13:06:30 07/20/2023, CCI,  1.1,46 55.56975N,017 39.45642E,0.7,12
0018,13:06:40 07/20/2023, CCI, 13.9,46 55.56963N,017 39.45506E,0.7,12
0019,13:06:47 07/20/2023, CCI, 63.4,46 55.56958N,017 39.45557E,0.7,12
0020,13:07:18 07/20/2023, CCI,  1.1,46 55.56856N,017 39.45432E,0.7,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,13:33:29 07/20/2023, CCI, 14.0,46 55.60411N,017 39.43927E,1.0,12
0002,13:33:32 07/20/2023, CCI, 14.9,46 55.60353N,017 39.43985E,1.0,12
0003,13:33:35 07/20/2023, CCI, 10.9,46 55.60326N,017 39.43952E,1.0,12
0004,13:33:38 07/20/2023, CCI, 18.5,46 55.60331N,017 39.43919E,1.0,12
0005,13:33:41 07/20/2023, CCI, 19.9,46 55.60356N,017 39.43890E,1.0,12
0006,13:33:44 07/20/2023, CCI, 19.1,46 55.60356N,017 39.43890E,1.0,12
0007,13:33:47 07/20/2023, CCI, 16.5,46 55.60394N,017 39.43760E,1.0,12
0008,13:33:50 07/20/2023, CCI, 16.4,46 55.60413N,017 39.43691E,1.0,12
0009,13:33:53 07/20/2023, CCI, 14.0,46 55.60384N,017 39.43706E,1.0,12
0010,13:33:58 07/20/2023, CCI, 17.4,46 55.60355N,017 39.43748E,1.0,11
0011,13:34:05 07/20/2023, CCI, 11.0,46 55.60458N,017 39.43635E,1.0,12
0012,13:34:07 07/20/2023, CCI, 10.0,46 55.60490N,017 39.43644E,1.0,12
0013,13:34:11 07/20/2023, CCI, 12.8,46 55.60515N,017 39.43608E,0.8,12
0014,13:34:15 07/20/2023, CCI, 10.1,46 55.60552N,017 39.43448E,0.8,12
0015,13:34:18 07/20/2023, CCI,  9.8,46 55.60561N,017 39.43387E,0.8,12
0016,13:34:20 07/20/2023, CCI,  9.0,46 55.60531N,017 39.43351E,0.8,12
0017,13:34:24 07/20/2023, CCI,  9.4,46 55.60508N,017 39.43389E,0.8,12
0018,13:34:28 07/20/2023, CCI,  8.0,46 55.60497N,017 39.43350E,0.9,12
0019,13:34:31 07/20/2023, CCI,  9.1,46 55.60477N,017 39.43337E,0.8,12
0020,13:34:42 07/20/2023, CCI,  9.5,46 55.60469N,017 39.43349E,0.8,12
0021,13:34:47 07/20/2023, CCI,  5.3,46 55.60541N,017 39.43469E,0.8,12
0022,13:34:52 07/20/2023, CCI, 19.7,46 55.60606N,017 39.43466E,1.0,10
0023,13:34:57 07/20/2023, CCI, 28.8,46 55.60592N,017 39.43571E,0.9,10
0024,13:35:04 07/20/2023, CCI, 30.0,46 55.60561N,017 39.43725E,0.8,12
0025,13:35:08 07/20/2023, CCI,  4.4,46 55.60571N,017 39.43817E,1.3,10
0026,13:35:12 07/20/2023, CCI,  2.3,46 55.60518N,017 39.43806E,1.1,10
0027,13:35:16 07/20/2023, CCI,  1.6,46 55.60522N,017 39.43924E,1.1,10
0028,13:35:22 07/20/2023, CCI,  1.9,46 55.60639N,017 39.43854E,0.8,12
0029,13:35:34 07/20/2023, CCI, 18.2,46 55.60593N,017 39.43801E,0.8,12
0030,13:35:43 07/20/2023, CCI,  4.8,46 55.60429N,017 39.43499E,0.8,12
0031,13:35:51 07/20/2023, CCI,  1.3,46 55.60457N,017 39.43565E,0.8,12
0032,13:35:55 07/20/2023, CCI,  7.9,46 55.60464N,017 39.43429E,0.8,12
0033,13:36:04 07/20/2023, CCI, 10.1,46 55.60463N,017 39.43510E,0.8,12
0034,13:36:11 07/20/2023, CCI,  2.4,46 55.60426N,017 39.43590E,0.8,12
0035,13:36:18 07/20/2023, CCI,  2.2,46 55.60428N,017 39.43635E,0.8,12
0036,13:36:25 07/20/2023, CCI,  2.1,46 55.60373N,017 39.43693E,1.2,10
0037,13:36:28 07/20/2023, CCI,  3.3,46 55.60439N,017 39.43736E,1.1,11
0038,13:36:43 07/20/2023, CCI,  8.1,46 55.60361N,017 39.43679E,1.1,11
0039,13:36:49 07/20/2023, CCI,  6.5,46 55.60368N,017 39.43706E,1.1,11
0040,13:36:56 07/20/2023, CCI, 47.3,46 55.60314N,017 39.43770E,1.1,11
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,13:38:34 07/20/2023, CCI, 15.6,46 55.57395N,017 39.48109E,1.0,12
0002,13:38:37 07/20/2023, CCI, 16.5,46 55.57377N,017 39.48118E,1.0,12
0003,13:38:42 07/20/2023, CCI, 22.5,46 55.57465N,017 39.48061E,1.0,12
0004,13:38:44 07/20/2023, CCI, 22.0,46 55.57515N,017 39.48023E,0.8,12
0005,13:38:50 07/20/2023, CCI, 18.2,46 55.57559N,017 39.47971E,0.8,12
0006,13:38:53 07/20/2023, CCI, 18.5,46 55.57608N,017 39.47979E,0.8,12
0007,13:38:57 07/20/2023, CCI, 15.0,46 55.57617N,017 39.47978E,0.8,12
0008,13:39:01 07/20/2023, CCI, 14.0,46 55.57578N,017 39.47942E,0.8,12
0009,13:39:04 07/20/2023, CCI, 13.7,46 55.57626N,017 39.47951E,0.9,12
0010,13:39:08 07/20/2023, CCI, 14.0,46 55.57626N,017 39.47969E,0.8,12
0011,13:39:11 07/20/2023, CCI, 19.6,46 55.57606N,017 39.48033E,1.0,12
0012,13:39:14 07/20/2023, CCI, 20.5,46 55.57597N,017 39.48143E,1.0,12
0013,13:39:17 07/20/2023, CCI, 20.0,46 55.57594N,017 39.48117E,1.0,12
0014,13:39:20 07/20/2023, CCI, 12.8,46 55.57581N,017 39.48056E,1.0,12
0015,13:39:23 07/20/2023, CCI, 19.0,46 55.57560N,017 39.48030E,1.0,12
0016,13:39:27 07/20/2023, CCI, 18.5,46 55.57588N,017 39.48070E,0.8,12
0017,13:39:30 07/20/2023, CCI, 15.1,46 55.57607N,017 39.48074E,1.0,12
0018,13:39:33 07/20/2023, CCI, 16.4,46 55.57620N,017 39.48066E,1.0,12
0019,13:39:36 07/20/2023, CCI, 13.8,46 55.57613N,017 39.48044E,0.8,12
0020,13:39:45 07/20/2023, CCI, 12.4,46 55.57578N,017 39.48154E,0.8,12
0021,13:39:51 07/20/2023, CCI, 24.9,46 55.57536N,017 39.48278E,1.0,11
0022,13:40:03 07/20/2023, CCI, 16.1,46 55.57684N,017 39.48156E,0.8,12
0023,13:40:06 07/20/2023, CCI, 22.1,46 55.57696N,017 39.48357E,1.0,11
0024,13:40:11 07/20/2023, CCI, 28.8,46 55.57673N,017 39.48445E,1.1,11
0025,13:40:18 07/20/2023, CCI, 22.5,46 55.57736N,017 39.48366E,1.0,12
0026,13:40:23 07/20/2023, CCI, 51.6,46 55.57844N,017 39.48144E,1.0,12
0027,13:40:27 07/20/2023, CCI, 21.6,46 55.57861N,017 39.48120E,1.0,12
0028,13:40:32 07/20/2023, CCI, 29.5,46 55.57976N,017 39.48020E,0.8,12
0029,13:40:37 07/20/2023, CCI, 15.0,46 55.57877N,017 39.48108E,0.8,12
0030,13:40:44 07/20/2023, CCI,  7.1,46 55.57828N,017 39.48128E,0.8,12
0031,13:40:48 07/20/2023, CCI, 26.9,46 55.57725N,017 39.48291E,0.8,12
0032,13:40:57 07/20/2023, CCI, 34.8,46 55.57716N,017 39.48418E,0.8,12
0033,13:41:02 07/20/2023, CCI,  2.0,46 55.57793N,017 39.48201E,0.8,12
0034,13:41:08 07/20/2023, CCI, 38.9,46 55.57757N,017 39.48129E,0.8,12
0035,13:41:15 07/20/2023, CCI, 30.6,46 55.57729N,017 39.48037E,0.8,12
0036,13:41:19 07/20/2023, CCI, 31.2,46 55.57558N,017 39.48009E,0.8,12
0037,13:41:26 07/20/2023, CCI, 31.6,46 55.57677N,017 39.48181E,0.8,12
0038,13:41:31 07/20/2023, CCI, 27.3,46 55.57671N,017 39.48097E,0.8,12
0039,13:41:35 07/20/2023, CCI, 22.6,46 55.57685N,017 39.48057E,0.8,12
0040,13:41:38 07/20/2023, CCI, 19.0,46 55.57679N,017 39.47989E,0.8,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,13:42:18 07/20/2023, CCI, 16.5,46 55.59308N,017 39.47140E,0.8,12
0002,13:42:21 07/20/2023, CCI, 22.8,46 55.59311N,017 39.47095E,1.1,11
0003,13:42:24 07/20/2023, CCI, 14.9,46 55.59314N,017 39.47135E,0.9,12
0004,13:42:28 07/20/2023, CCI, 19.1,46 55.59282N,017 39.47255E,0.9,12
0005,13:42:31 07/20/2023, CCI, 16.5,46 55.59337N,017 39.47369E,1.0,12
0006,13:42:35 07/20/2023, CCI, 19.4,46 55.59378N,017 39.47380E,1.0,12
0007,13:42:39 07/20/2023, CCI, 19.5,46 55.59431N,017 39.47392E,1.0,12
0008,13:42:41 07/20/2023, CCI, 19.0,46 55.59479N,017 39.47407E,1.0,12
0009,13:42:45 07/20/2023, CCI, 18.4,46 55.59473N,017 39.47384E,1.0,12
0010,13:42:51 07/20/2023, CCI, 24.0,46 55.59449N,017 39.47377E,1.0,12
