Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,13:12:21 08/17/2023, CCI, 16.5,46 54.73927N,017 41.84888E,1.3,10
0002,13:12:25 08/17/2023, CCI, 18.8,46 54.73936N,017 41.84907E,1.3,10
0003,13:12:39 08/17/2023, CCI, 26.6,46 54.73932N,017 41.84845E,0.9,11
0004,13:12:44 08/17/2023, CCI,  7.3,46 54.73839N,017 41.84641E,1.3,11
0005,13:12:52 08/17/2023, CCI, 57.6,46 54.73882N,017 41.84779E,1.3,10
0006,13:13:03 08/17/2023, CCI,  8.2,46 54.73946N,017 41.85000E,0.9,10
0007,13:13:07 08/17/2023, CCI, 20.5,46 54.73901N,017 41.85256E,0.9,11
0008,13:13:14 08/17/2023, CCI, 21.9,46 54.73918N,017 41.85285E,0.9,10
0009,13:13:20 08/17/2023, CCI, 15.1,46 54.74010N,017 41.85509E,1.3,11
0010,13:13:26 08/17/2023, CCI,  7.1,46 54.73985N,017 41.85469E,1.3,12
0011,13:13:42 08/17/2023, CCI, 13.4,46 54.73969N,017 41.85446E,1.3,11
0012,13:13:58 08/17/2023, CCI, 10.1,46 54.73857N,017 41.85275E,1.3,10
0013,13:14:02 08/17/2023, CCI, 45.1,46 54.73875N,017 41.85215E,0.9,11
0014,13:14:27 08/17/2023, CCI,  5.1,46 54.73889N,017 41.85266E,0.9,11
0015,13:14:38 08/17/2023, CCI, 20.3,46 54.73926N,017 41.85435E,1.3,10
0016,13:15:10 08/17/2023, CCI,  3.0,46 54.74023N,017 41.85343E,0.9,11
0017,13:15:15 08/17/2023, CCI,  3.9,46 54.73967N,017 41.85328E,0.9,11
0018,13:15:23 08/17/2023, CCI,  2.0,46 54.73969N,017 41.85358E,0.9,11
0019,13:15:32 08/17/2023, CCI, 39.6,46 54.74000N,017 41.85307E,0.9,11
0020,13:15:40 08/17/2023, CCI, 36.4,46 54.73894N,017 41.85359E,0.9,11
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,13:16:58 08/17/2023, CCI, 11.5,46 54.72978N,017 41.80545E,0.8,12
0002,13:17:09 08/17/2023, CCI, 14.2,46 54.73005N,017 41.80574E,0.8,12
0003,13:17:21 08/17/2023, CCI,  1.4,46 54.73194N,017 41.80634E,0.8,12
0004,13:17:29 08/17/2023, CCI, 73.8,46 54.73209N,017 41.80448E,0.8,12
0005,13:17:39 08/17/2023, CCI, 20.3,46 54.73222N,017 41.80432E,0.8,12
0006,13:17:43 08/17/2023, CCI, 17.6,46 54.73215N,017 41.80480E,0.8,12
0007,13:17:50 08/17/2023, CCI, 12.9,46 54.73234N,017 41.80453E,0.8,12
0008,13:17:57 08/17/2023, CCI, 39.5,46 54.73251N,017 41.80449E,0.8,12
0009,13:18:03 08/17/2023, CCI, 43.9,46 54.73253N,017 41.80343E,0.8,12
0010,13:18:08 08/17/2023, CCI,  2.0,46 54.73254N,017 41.80266E,0.8,12
0011,13:18:15 08/17/2023, CCI, 25.7,46 54.73263N,017 41.80194E,0.8,12
0012,13:18:29 08/17/2023, CCI, 15.2,46 54.73290N,017 41.80388E,0.8,11
0013,13:18:39 08/17/2023, CCI,  5.2,46 54.73273N,017 41.80335E,0.8,12
0014,13:18:47 08/17/2023, CCI, 14.8,46 54.73187N,017 41.80456E,0.8,12
0015,13:18:53 08/17/2023, CCI, 15.1,46 54.73181N,017 41.80443E,0.8,12
0016,13:19:10 08/17/2023, CCI,  4.5,46 54.73260N,017 41.80290E,0.8,12
0017,13:19:17 08/17/2023, CCI, 59.6,46 54.73252N,017 41.80306E,0.8,12
0018,13:19:31 08/17/2023, CCI, 43.1,46 54.73223N,017 41.80301E,0.8,12
0019,13:19:42 08/17/2023, CCI, 14.5,46 54.73165N,017 41.80101E,0.8,12
0020,13:19:46 08/17/2023, CCI, 18.8,46 54.73256N,017 41.80041E,0.8,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,13:37:28 08/17/2023, CCI, 59.3,----.------,-----.------,-.-,--
0002,13:37:36 08/17/2023, CCI, 76.3,----.------,-----.------,-.-,--
0003,13:37:41 08/17/2023, CCI, 34.7,----.------,-----.------,-.-,--
0004,13:37:47 08/17/2023, CCI, 26.8,----.------,-----.------,-.-,--
0005,13:37:54 08/17/2023, CCI, 31.5,----.------,-----.------,-.-,--
0006,13:37:59 08/17/2023, CCI, 16.5,----.------,-----.------,-.-,--
0007,13:38:05 08/17/2023, CCI,  1.4,----.------,-----.------,-.-,--
0008,13:38:11 08/17/2023, CCI, 20.2,----.------,-----.------,-.-,--
0009,13:38:16 08/17/2023, CCI, 18.8,----.------,-----.------,-.-,--
0010,13:38:27 08/17/2023, CCI, 20.2,----.------,-----.------,-.-,--
0011,13:38:30 08/17/2023, CCI, 28.4,----.------,-----.------,-.-,--
0012,13:38:34 08/17/2023, CCI, 29.4,----.------,-----.------,-.-,--
0013,13:38:37 08/17/2023, CCI, 28.2,----.------,-----.------,-.-,--
0014,13:38:45 08/17/2023, CCI, 23.2,----.------,-----.------,-.-,--
0015,13:38:48 08/17/2023, CCI, 27.4,----.------,-----.------,-.-,--
0016,13:38:54 08/17/2023, CCI, 26.4,----.------,-----.------,-.-,--
0017,13:39:17 08/17/2023, CCI, 27.2,----.------,-----.------,-.-,--
0018,13:39:21 08/17/2023, CCI, 23.8,----.------,-----.------,-.-,--
0019,13:39:30 08/17/2023, CCI, 23.4,----.------,-----.------,-.-,--
0020,13:39:35 08/17/2023, CCI, 23.3,----.------,-----.------,-.-,--
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,13:47:19 08/17/2023, CCI,  2.4,----.------,-----.------,-.-,--
0002,13:47:26 08/17/2023, CCI, 26.9,----.------,-----.------,-.-,--
0003,13:47:32 08/17/2023, CCI, 15.6,----.------,-----.------,-.-,--
0004,13:47:38 08/17/2023, CCI, 26.0,----.------,-----.------,-.-,--
0005,13:47:49 08/17/2023, CCI,141.9,----.------,-----.------,-.-,--
0006,13:47:52 08/17/2023, CCI, 22.5,----.------,-----.------,-.-,--
0007,13:47:56 08/17/2023, CCI, 19.7,----.------,-----.------,-.-,--
0008,13:48:00 08/17/2023, CCI, 18.5,----.------,-----.------,-.-,--
0009,13:48:04 08/17/2023, CCI, 19.1,----.------,-----.------,-.-,--
0010,13:48:08 08/17/2023, CCI, 18.3,----.------,-----.------,-.-,--
0011,13:48:24 08/17/2023, CCI, 12.7,----.------,-----.------,-.-,--
