Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:01:45 09/28/2023, CCI, 12.7,46 55.56142N,017 39.41343E,1.1,10
0002,10:01:49 09/28/2023, CCI,  9.4,46 55.56185N,017 39.41369E,1.1,10
0003,10:01:54 09/28/2023, CCI, 27.0,46 55.56222N,017 39.41391E,1.1,10
0004,10:02:01 09/28/2023, CCI, 32.9,46 55.56263N,017 39.41420E,1.1,10
0005,10:02:06 09/28/2023, CCI, 17.8,46 55.56209N,017 39.41507E,1.1,10
0006,10:02:18 09/28/2023, CCI, 22.8,46 55.56188N,017 39.41558E,1.2,10
0007,10:02:35 09/28/2023, CCI, 22.1,46 55.56228N,017 39.41476E,1.1,10
0008,10:02:46 09/28/2023, CCI, 20.5,46 55.56381N,017 39.41720E,1.1,10
0009,10:02:58 09/28/2023, CCI, 20.7,46 55.56398N,017 39.41826E,1.1,10
0010,10:03:11 09/28/2023, CCI, 23.6,46 55.56391N,017 39.41791E,1.1,10
0011,10:03:17 09/28/2023, CCI, 26.7,46 55.56409N,017 39.41748E,1.1,10
0012,10:03:29 09/28/2023, CCI, 28.3,46 55.56448N,017 39.41703E,1.1,10
0013,10:03:43 09/28/2023, CCI, 24.2,46 55.56425N,017 39.41779E,1.3,07
0014,10:03:52 09/28/2023, CCI, 24.2,46 55.56393N,017 39.41693E,1.3,07
0015,10:03:55 09/28/2023, CCI, 18.9,46 55.56255N,017 39.41604E,1.3,07
0016,10:03:59 09/28/2023, CCI, 21.6,46 55.56262N,017 39.41654E,1.3,07
0017,10:04:04 09/28/2023, CCI, 21.8,46 55.56258N,017 39.41696E,1.3,07
0018,10:04:07 09/28/2023, CCI, 17.0,46 55.56235N,017 39.41646E,1.3,07
0019,10:04:13 09/28/2023, CCI,  7.3,46 55.56208N,017 39.41527E,1.3,07
0020,10:04:16 09/28/2023, CCI, 21.2,46 55.56197N,017 39.41527E,1.3,07
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:04:32 09/28/2023, CCI, 11.9,46 55.56328N,017 39.41714E,1.3,07
0002,10:04:40 09/28/2023, CCI,  9.8,46 55.56332N,017 39.41676E,1.3,07
0003,10:04:46 09/28/2023, CCI, 12.1,46 55.56392N,017 39.41650E,1.3,07
0004,10:04:53 09/28/2023, CCI, 19.0,46 55.56343N,017 39.41564E,1.3,07
0005,10:05:10 09/28/2023, CCI, 20.6,46 55.56310N,017 39.41485E,1.3,07
0006,10:05:17 09/28/2023, CCI, 14.1,46 55.56347N,017 39.41492E,1.3,07
0007,10:05:38 09/28/2023, CCI, 40.7,46 55.56618N,017 39.41744E,1.6,06
0008,10:05:42 09/28/2023, CCI,  1.4,46 55.56303N,017 39.41683E,1.3,07
0009,10:05:48 09/28/2023, CCI,  2.4,46 55.56196N,017 39.41737E,1.3,07
0010,10:05:58 09/28/2023, CCI, 21.6,46 55.56103N,017 39.41625E,1.3,07
0011,10:06:03 09/28/2023, CCI,  2.4,46 55.56129N,017 39.41664E,1.4,06
0012,10:06:17 09/28/2023, CCI,  1.5,46 55.56130N,017 39.41720E,1.3,07
0013,10:06:27 09/28/2023, CCI,  9.4,46 55.56123N,017 39.41718E,1.3,07
0014,10:06:32 09/28/2023, CCI, 11.5,46 55.56032N,017 39.41730E,1.3,07
0015,10:06:47 09/28/2023, CCI, 10.7,46 55.55979N,017 39.41661E,1.3,07
0016,10:06:57 09/28/2023, CCI, 21.0,46 55.56160N,017 39.41668E,1.3,07
0017,10:07:03 09/28/2023, CCI, 25.7,46 55.56208N,017 39.41667E,1.3,07
0018,10:07:19 09/28/2023, CCI, 14.0,46 55.56350N,017 39.41542E,1.3,07
0019,10:07:31 09/28/2023, CCI, 24.0,46 55.56361N,017 39.41539E,1.3,07
0020,10:07:35 09/28/2023, CCI,  1.0,46 55.56239N,017 39.41545E,1.3,07
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:11:58 09/28/2023, CCI,  9.5,46 55.57172N,017 39.45881E,0.6,12
0002,10:11:59 09/28/2023, CCI, 18.2,46 55.57129N,017 39.45839E,0.6,12
0003,10:12:06 09/28/2023, CCI, 10.9,46 55.57129N,017 39.45839E,0.6,12
0004,10:12:09 09/28/2023, CCI, 15.6,46 55.57087N,017 39.45767E,0.6,12
0005,10:12:18 09/28/2023, CCI, 18.8,46 55.57061N,017 39.45781E,0.6,12
0006,10:12:21 09/28/2023, CCI, 20.7,46 55.57119N,017 39.45805E,0.6,12
0007,10:12:26 09/28/2023, CCI, 21.6,46 55.57121N,017 39.45797E,0.6,12
0008,10:12:30 09/28/2023, CCI, 13.2,46 55.57157N,017 39.45735E,0.6,12
0009,10:12:37 09/28/2023, CCI, 12.3,46 55.57169N,017 39.45728E,0.6,12
0010,10:12:41 09/28/2023, CCI, 15.0,46 55.57181N,017 39.45767E,0.6,12
0011,10:12:45 09/28/2023, CCI, 15.7,46 55.57170N,017 39.45759E,0.6,12
0012,10:12:50 09/28/2023, CCI, 16.7,46 55.57215N,017 39.45739E,0.6,12
0013,10:12:55 09/28/2023, CCI, 17.9,46 55.57226N,017 39.45728E,0.6,12
0014,10:13:00 09/28/2023, CCI, 16.5,46 55.57240N,017 39.45662E,0.6,12
0015,10:13:03 09/28/2023, CCI, 17.4,46 55.57205N,017 39.45665E,0.6,12
0016,10:13:06 09/28/2023, CCI, 16.0,46 55.57209N,017 39.45682E,0.7,12
0017,10:13:09 09/28/2023, CCI, 19.0,46 55.57221N,017 39.45725E,0.7,12
0018,10:13:13 09/28/2023, CCI, 21.4,46 55.57218N,017 39.45721E,0.6,12
0019,10:13:23 09/28/2023, CCI, 14.6,46 55.57224N,017 39.45651E,0.7,12
0020,10:13:32 09/28/2023, CCI, 21.0,46 55.57240N,017 39.45723E,0.6,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:14:00 09/28/2023, CCI,  7.2,46 55.57262N,017 39.45751E,0.6,12
0002,10:14:05 09/28/2023, CCI,  3.1,46 55.57191N,017 39.45785E,0.6,12
0003,10:14:26 09/28/2023, CCI, 37.0,46 55.57262N,017 39.45749E,0.6,12
0004,10:14:33 09/28/2023, CCI,  8.9,46 55.57255N,017 39.45683E,0.6,12
0005,10:14:38 09/28/2023, CCI, 48.0,46 55.57277N,017 39.45719E,0.6,12
0006,10:14:50 09/28/2023, CCI,  1.4,46 55.57276N,017 39.45693E,0.7,12
0007,10:15:11 09/28/2023, CCI,  6.3,46 55.57325N,017 39.45680E,0.6,12
0008,10:15:16 09/28/2023, CCI, 25.9,46 55.57376N,017 39.45638E,0.6,12
0009,10:15:23 09/28/2023, CCI, 21.5,46 55.57415N,017 39.45622E,0.6,12
0010,10:15:57 09/28/2023, CCI,  3.5,46 55.57405N,017 39.45658E,0.7,12
0011,10:16:04 09/28/2023, CCI,  6.2,46 55.57372N,017 39.45685E,0.6,12
0012,10:16:08 09/28/2023, CCI,  8.3,46 55.57346N,017 39.45677E,0.6,12
0013,10:16:15 09/28/2023, CCI, 62.4,46 55.57345N,017 39.45682E,0.6,12
0014,10:16:22 09/28/2023, CCI, 99.3,46 55.57393N,017 39.45675E,0.6,12
0015,10:16:35 09/28/2023, CCI, 41.1,46 55.57404N,017 39.45656E,0.6,12
0016,10:16:40 09/28/2023, CCI,  4.9,46 55.57157N,017 39.45744E,0.6,12
0017,10:16:44 09/28/2023, CCI,  2.7,46 55.57144N,017 39.45719E,0.6,12
0018,10:16:48 09/28/2023, CCI,  2.1,46 55.57118N,017 39.45726E,0.6,12
0019,10:16:51 09/28/2023, CCI, 10.8,46 55.57107N,017 39.45746E,0.6,12
0020,10:16:55 09/28/2023, CCI,  2.5,46 55.57118N,017 39.45729E,0.6,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:19:00 09/28/2023, CCI,  5.4,46 55.60636N,017 39.43883E,0.7,12
0002,10:19:04 09/28/2023, CCI,  4.4,46 55.60573N,017 39.43912E,0.7,12
0003,10:19:09 09/28/2023, CCI,  9.9,46 55.60596N,017 39.43926E,0.7,12
0004,10:19:13 09/28/2023, CCI, 13.0,46 55.60601N,017 39.43960E,0.7,12
0005,10:19:16 09/28/2023, CCI, 10.9,46 55.60604N,017 39.43989E,0.7,12
0006,10:19:20 09/28/2023, CCI,  4.0,46 55.60607N,017 39.43998E,0.7,12
0007,10:19:26 09/28/2023, CCI,  5.2,46 55.60611N,017 39.43990E,0.7,12
0008,10:19:31 09/28/2023, CCI, 10.2,46 55.60600N,017 39.43977E,0.7,12
0009,10:19:34 09/28/2023, CCI,  8.5,46 55.60615N,017 39.43914E,0.7,12
0010,10:19:39 09/28/2023, CCI,  6.9,46 55.60610N,017 39.43850E,0.7,12
0011,10:19:43 09/28/2023, CCI, 10.1,46 55.60623N,017 39.43862E,0.7,12
0012,10:19:48 09/28/2023, CCI, 11.2,46 55.60610N,017 39.43852E,0.7,12
0013,10:19:56 09/28/2023, CCI, 10.2,46 55.60610N,017 39.43796E,0.7,12
0014,10:20:00 09/28/2023, CCI,  5.4,46 55.60565N,017 39.43818E,0.7,12
0015,10:20:04 09/28/2023, CCI,  3.1,46 55.60593N,017 39.43828E,0.7,12
0016,10:20:07 09/28/2023, CCI,  5.3,46 55.60583N,017 39.43852E,0.7,12
0017,10:20:10 09/28/2023, CCI,  8.4,46 55.60592N,017 39.43869E,0.7,12
0018,10:20:17 09/28/2023, CCI,  5.8,46 55.60588N,017 39.43884E,0.7,12
0019,10:20:21 09/28/2023, CCI,  6.8,46 55.60597N,017 39.43904E,0.7,12
0020,10:20:31 09/28/2023, CCI, 10.1,46 55.60619N,017 39.43974E,0.7,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:20:47 09/28/2023, CCI, 54.7,46 55.60707N,017 39.43973E,0.7,12
0002,10:20:51 09/28/2023, CCI,  4.4,46 55.60730N,017 39.43971E,0.7,12
0003,10:21:04 09/28/2023, CCI,  1.2,46 55.60706N,017 39.43960E,0.7,12
0004,10:21:09 09/28/2023, CCI, 16.1,46 55.60611N,017 39.44016E,0.7,12
0005,10:21:20 09/28/2023, CCI, 16.9,46 55.60599N,017 39.44004E,0.7,12
0006,10:21:29 09/28/2023, CCI,  1.6,46 55.60575N,017 39.43992E,0.7,12
0007,10:21:37 09/28/2023, CCI, 96.9,46 55.60684N,017 39.43952E,0.7,12
0008,10:21:58 09/28/2023, CCI,  1.5,46 55.60683N,017 39.43959E,0.7,12
0009,10:22:07 09/28/2023, CCI, 15.6,46 55.60666N,017 39.43960E,0.7,12
0010,10:22:17 09/28/2023, CCI, 14.9,46 55.60680N,017 39.43932E,0.7,12
0011,10:22:21 09/28/2023, CCI,  1.8,46 55.60713N,017 39.43906E,0.7,12
0012,10:22:32 09/28/2023, CCI,  2.4,46 55.60698N,017 39.43877E,0.7,12
0013,10:22:40 09/28/2023, CCI,  1.6,46 55.60750N,017 39.43855E,0.7,12
0014,10:22:48 09/28/2023, CCI,  4.0,46 55.60752N,017 39.43823E,0.7,12
0015,10:23:04 09/28/2023, CCI, 15.8,46 55.60751N,017 39.43789E,0.7,12
0016,10:23:14 09/28/2023, CCI, 33.0,46 55.60612N,017 39.43876E,0.7,12
0017,10:23:24 09/28/2023, CCI, 25.9,46 55.60616N,017 39.43838E,0.7,12
0018,10:23:39 09/28/2023, CCI, 13.1,46 55.60681N,017 39.43817E,0.7,12
0019,10:23:45 09/28/2023, CCI,  1.5,46 55.60679N,017 39.43903E,0.7,12
0020,10:23:48 09/28/2023, CCI, 11.2,46 55.60675N,017 39.43972E,0.7,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:26:29 09/28/2023, CCI, 24.9,46 55.57669N,017 39.48323E,0.7,12
0002,10:26:34 09/28/2023, CCI, 10.2,46 55.57693N,017 39.48314E,0.7,12
0003,10:26:38 09/28/2023, CCI, 25.5,46 55.57709N,017 39.48288E,0.7,12
0004,10:26:44 09/28/2023, CCI, 22.6,46 55.57753N,017 39.48317E,0.7,12
0005,10:26:49 09/28/2023, CCI, 20.4,46 55.57760N,017 39.48343E,0.7,12
0006,10:26:52 09/28/2023, CCI, 24.1,46 55.57792N,017 39.48348E,0.7,12
0007,10:27:00 09/28/2023, CCI, 20.7,46 55.57784N,017 39.48359E,0.7,12
0008,10:27:09 09/28/2023, CCI, 10.7,46 55.57739N,017 39.48328E,0.7,12
0009,10:27:14 09/28/2023, CCI,  9.4,46 55.57620N,017 39.48355E,0.7,12
0010,10:27:18 09/28/2023, CCI, 14.2,46 55.57620N,017 39.48345E,0.7,12
0011,10:27:21 09/28/2023, CCI, 23.3,46 55.57603N,017 39.48354E,0.7,12
0012,10:27:25 09/28/2023, CCI, 22.7,46 55.57566N,017 39.48325E,0.7,12
0013,10:27:31 09/28/2023, CCI, 15.5,46 55.57569N,017 39.48287E,0.7,12
0014,10:27:40 09/28/2023, CCI, 22.5,46 55.57654N,017 39.48134E,0.7,12
0015,10:27:46 09/28/2023, CCI, 16.3,46 55.57609N,017 39.48103E,0.7,12
0016,10:27:56 09/28/2023, CCI, 21.6,46 55.57627N,017 39.48127E,0.7,12
0017,10:28:01 09/28/2023, CCI, 10.7,46 55.57632N,017 39.48130E,0.7,12
0018,10:28:05 09/28/2023, CCI, 19.2,46 55.57655N,017 39.48150E,0.7,12
0019,10:28:09 09/28/2023, CCI, 16.8,46 55.57705N,017 39.48113E,0.7,12
0020,10:28:37 09/28/2023, CCI, 10.4,46 55.57704N,017 39.48180E,0.7,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:29:18 09/28/2023, CCI, 20.0,46 55.57726N,017 39.48452E,0.7,12
0002,10:29:25 09/28/2023, CCI, 19.7,46 55.57703N,017 39.48417E,0.7,12
0003,10:29:33 09/28/2023, CCI, 33.2,46 55.57717N,017 39.48434E,0.7,12
0004,10:29:36 09/28/2023, CCI, 28.5,46 55.57770N,017 39.48392E,0.7,12
0005,10:29:44 09/28/2023, CCI, 28.4,46 55.57821N,017 39.48389E,0.7,12
0006,10:29:52 09/28/2023, CCI, 13.5,46 55.57827N,017 39.48339E,0.7,12
0007,10:29:55 09/28/2023, CCI, 24.9,46 55.57769N,017 39.48278E,0.7,12
0008,10:30:05 09/28/2023, CCI, 30.5,46 55.57742N,017 39.48311E,0.7,12
0009,10:30:12 09/28/2023, CCI,  9.2,46 55.57744N,017 39.48231E,0.7,12
0010,10:30:23 09/28/2023, CCI,  9.5,46 55.57754N,017 39.48181E,0.7,12
0011,10:30:28 09/28/2023, CCI,  5.3,46 55.57687N,017 39.48165E,0.7,12
0012,10:30:32 09/28/2023, CCI, 31.4,46 55.57701N,017 39.48184E,0.7,12
0013,10:30:46 09/28/2023, CCI,  9.0,46 55.57729N,017 39.48246E,0.7,12
0014,10:30:50 09/28/2023, CCI,  0.9,46 55.57763N,017 39.48446E,0.7,12
0015,10:30:57 09/28/2023, CCI,  5.6,46 55.57697N,017 39.48446E,0.8,12
0016,10:31:09 09/28/2023, CCI, 55.2,46 55.57696N,017 39.48491E,0.8,12
0017,10:31:16 09/28/2023, CCI, 16.2,46 55.57807N,017 39.48425E,0.8,12
0018,10:31:25 09/28/2023, CCI,  9.4,46 55.57782N,017 39.48433E,0.7,12
0019,10:31:31 09/28/2023, CCI, 21.9,46 55.57833N,017 39.48421E,0.7,12
0020,10:31:34 09/28/2023, CCI, 21.1,46 55.57776N,017 39.48390E,0.8,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:33:08 09/28/2023, CCI, 30.2,46 55.59849N,017 39.47205E,0.7,12
0002,10:33:13 09/28/2023, CCI, 24.6,46 55.59842N,017 39.47194E,0.7,12
0003,10:33:16 09/28/2023, CCI, 24.9,46 55.59809N,017 39.47132E,0.7,12
0004,10:33:19 09/28/2023, CCI, 32.0,46 55.59784N,017 39.47099E,0.7,12
0005,10:33:22 09/28/2023, CCI, 37.5,46 55.59749N,017 39.47070E,0.7,12
0006,10:33:28 09/28/2023, CCI, 20.0,46 55.59729N,017 39.47049E,0.7,12
0007,10:33:32 09/28/2023, CCI, 12.6,46 55.59760N,017 39.47057E,0.7,12
0008,10:33:39 09/28/2023, CCI, 17.0,46 55.59767N,017 39.47065E,0.7,12
0009,10:33:44 09/28/2023, CCI, 23.8,46 55.59767N,017 39.47087E,0.7,12
