Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,08:45:30 09/28/2023, CCI, 12.9,----.------,-----.------,-.-,--
0002,08:45:34 09/28/2023, CCI, 24.2,----.------,-----.------,-.-,--
0003,08:45:39 09/28/2023, CCI, 19.4,----.------,-----.------,-.-,--
0004,08:45:46 09/28/2023, CCI, 15.8,----.------,-----.------,-.-,--
0005,08:45:50 09/28/2023, CCI, 15.6,----.------,-----.------,-.-,--
0006,08:45:57 09/28/2023, CCI, 19.8,----.------,-----.------,-.-,--
0007,08:46:02 09/28/2023, CCI, 18.8,----.------,-----.------,-.-,--
0008,08:46:13 09/28/2023, CCI, 14.0,----.------,-----.------,-.-,--
0009,08:46:18 09/28/2023, CCI, 24.4,----.------,-----.------,-.-,--
0010,08:46:25 09/28/2023, CCI, 17.8,----.------,-----.------,-.-,--
0011,08:46:33 09/28/2023, CCI,  8.6,----.------,-----.------,-.-,--
0012,08:46:41 09/28/2023, CCI, 18.3,----.------,-----.------,-.-,--
0013,08:46:46 09/28/2023, CCI, 10.1,----.------,-----.------,-.-,--
0014,08:46:49 09/28/2023, CCI, 17.0,----.------,-----.------,-.-,--
0015,08:46:55 09/28/2023, CCI, 17.7,----.------,-----.------,-.-,--
0016,08:47:00 09/28/2023, CCI, 23.8,----.------,-----.------,-.-,--
0017,08:47:04 09/28/2023, CCI, 12.9,----.------,-----.------,-.-,--
0018,08:47:14 09/28/2023, CCI, 19.0,----.------,-----.------,-.-,--
0019,08:47:20 09/28/2023, CCI, 18.9,----.------,-----.------,-.-,--
0020,08:47:33 09/28/2023, CCI, 16.6,----.------,-----.------,-.-,--
0021,08:47:42 09/28/2023, CCI, 48.0,----.------,-----.------,-.-,--
0022,08:47:54 09/28/2023, CCI, 43.8,----.------,-----.------,-.-,--
0023,08:48:01 09/28/2023, CCI,  2.1,----.------,-----.------,-.-,--
0024,08:48:07 09/28/2023, CCI, 31.6,----.------,-----.------,-.-,--
0025,08:48:18 09/28/2023, CCI, 32.3,----.------,-----.------,-.-,--
0026,08:48:23 09/28/2023, CCI, 14.5,----.------,-----.------,-.-,--
0027,08:48:26 09/28/2023, CCI, 14.8,----.------,-----.------,-.-,--
0028,08:48:31 09/28/2023, CCI, 14.3,----.------,-----.------,-.-,--
0029,08:48:38 09/28/2023, CCI, 14.0,----.------,-----.------,-.-,--
0030,08:48:46 09/28/2023, CCI, 18.6,46 55.82414N,017 39.29009E,6.2,04
0031,08:49:03 09/28/2023, CCI, 10.9,46 55.82587N,017 39.29332E,6.1,04
0032,08:49:22 09/28/2023, CCI, 11.4,----.------,-----.------,-.-,--
0033,08:49:32 09/28/2023, CCI,  5.8,----.------,-----.------,-.-,--
0034,08:49:40 09/28/2023, CCI, 36.5,----.------,-----.------,-.-,--
0035,08:49:52 09/28/2023, CCI, 11.3,----.------,-----.------,-.-,--
0036,08:50:04 09/28/2023, CCI,  1.9,----.------,-----.------,-.-,--
0037,08:50:16 09/28/2023, CCI, 13.1,----.------,-----.------,-.-,--
0038,08:50:21 09/28/2023, CCI, 14.3,----.------,-----.------,-.-,--
0039,08:50:32 09/28/2023, CCI, 10.3,----.------,-----.------,-.-,--
0040,08:50:38 09/28/2023, CCI, 15.7,46 55.81899N,017 39.28441E,1.6,05
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
