Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,08:57:04 10/18/2023, CCI, 12.8,46 55.82142N,017 39.28124E,1.1,09
0002,08:57:11 10/18/2023, CCI, 10.5,46 55.82150N,017 39.28251E,1.1,09
0003,08:57:16 10/18/2023, CCI, 14.6,46 55.82112N,017 39.28255E,0.9,10
0004,08:57:22 10/18/2023, CCI, 14.8,46 55.82183N,017 39.28221E,0.9,10
0005,08:57:27 10/18/2023, CCI, 15.7,46 55.82243N,017 39.28301E,0.9,10
0006,08:57:33 10/18/2023, CCI, 21.3,46 55.82265N,017 39.28370E,0.9,10
0007,08:57:40 10/18/2023, CCI,  9.4,46 55.82263N,017 39.28308E,0.9,10
0008,08:57:46 10/18/2023, CCI, 11.7,46 55.82238N,017 39.28213E,0.9,10
0009,08:57:54 10/18/2023, CCI, 21.3,46 55.82154N,017 39.28182E,0.9,10
0010,08:58:02 10/18/2023, CCI, 11.4,46 55.82174N,017 39.28239E,0.9,10
0011,08:58:07 10/18/2023, CCI, 19.2,46 55.82283N,017 39.28184E,0.9,10
0012,08:58:16 10/18/2023, CCI, 16.5,46 55.82301N,017 39.28156E,0.9,10
0013,08:58:20 10/18/2023, CCI,  5.4,46 55.82250N,017 39.28034E,0.9,10
0014,08:58:27 10/18/2023, CCI, 11.8,46 55.82268N,017 39.28075E,0.9,10
0015,08:58:36 10/18/2023, CCI, 12.0,46 55.82274N,017 39.28011E,0.9,10
0016,08:58:41 10/18/2023, CCI, 20.8,46 55.82295N,017 39.27988E,0.9,10
0017,08:58:46 10/18/2023, CCI, 10.5,46 55.82282N,017 39.27998E,0.9,10
0018,08:58:51 10/18/2023, CCI, 16.5,46 55.82277N,017 39.27990E,0.9,10
0019,08:58:57 10/18/2023, CCI,  9.5,46 55.82296N,017 39.27937E,0.9,10
0020,08:59:31 10/18/2023, CCI, 13.7,46 55.82294N,017 39.27911E,0.9,10
0021,08:59:36 10/18/2023, CCI, 44.1,46 55.82186N,017 39.28132E,0.8,12
0022,08:59:49 10/18/2023, CCI, 52.8,46 55.82214N,017 39.28154E,0.8,12
0023,08:59:58 10/18/2023, CCI,  2.0,46 55.82281N,017 39.28043E,0.8,12
0024,09:00:03 10/18/2023, CCI, 13.5,46 55.82332N,017 39.28032E,0.8,12
0025,09:00:15 10/18/2023, CCI, 15.1,46 55.82263N,017 39.27996E,0.8,12
0026,09:00:50 10/18/2023, CCI, 11.0,46 55.82317N,017 39.28043E,0.8,12
0027,09:01:09 10/18/2023, CCI, 15.0,46 55.82113N,017 39.28016E,0.8,12
0028,09:01:21 10/18/2023, CCI, 36.3,46 55.82057N,017 39.28110E,0.8,12
0029,09:01:38 10/18/2023, CCI, 20.0,46 55.82022N,017 39.28094E,0.8,12
0030,09:01:45 10/18/2023, CCI,  4.6,46 55.82359N,017 39.27921E,0.8,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,09:02:55 10/18/2023, CCI,  9.3,46 55.83833N,017 39.31594E,0.7,12
0002,09:03:00 10/18/2023, CCI, 12.2,46 55.83842N,017 39.31627E,0.8,12
