Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,11:44:05 10/18/2023, CCI, 15.7,46 55.59069N,017 40.93203E,0.8,09
0002,11:44:16 10/18/2023, CCI, 19.0,46 55.59155N,017 40.93369E,0.8,09
0003,11:44:20 10/18/2023, CCI, 18.8,46 55.59210N,017 40.93317E,0.8,09
0004,11:44:28 10/18/2023, CCI,  5.0,46 55.59203N,017 40.93259E,0.8,09
0005,11:44:38 10/18/2023, CCI, 14.0,46 55.59234N,017 40.93375E,0.8,09
0006,11:44:48 10/18/2023, CCI, 20.4,46 55.59180N,017 40.93133E,0.8,09
0007,11:44:57 10/18/2023, CCI, 24.2,46 55.59206N,017 40.93186E,0.8,08
0008,11:45:04 10/18/2023, CCI, 16.0,46 55.59145N,017 40.93158E,0.8,09
0009,11:45:09 10/18/2023, CCI, 34.7,46 55.59185N,017 40.92967E,0.8,09
0010,11:45:14 10/18/2023, CCI, 21.6,46 55.59180N,017 40.92978E,0.8,09
0011,11:45:21 10/18/2023, CCI, 12.1,46 55.59171N,017 40.93068E,0.8,09
0012,11:45:30 10/18/2023, CCI, 18.6,46 55.59184N,017 40.93116E,0.8,10
0013,11:45:37 10/18/2023, CCI, 18.7,46 55.59173N,017 40.93143E,0.8,10
0014,11:45:50 10/18/2023, CCI, 14.6,46 55.59128N,017 40.93133E,0.8,10
0015,11:45:56 10/18/2023, CCI, 12.4,46 55.59195N,017 40.93055E,0.8,10
0016,11:46:36 10/18/2023, CCI, 11.7,46 55.59241N,017 40.92913E,0.8,10
0017,11:46:55 10/18/2023, CCI, 26.9,46 55.57844N,017 40.94648E,0.8,10
0018,11:47:00 10/18/2023, CCI, 23.7,46 55.57895N,017 40.94701E,0.8,10
0019,11:47:04 10/18/2023, CCI, 23.5,46 55.57868N,017 40.94671E,0.8,10
0020,11:47:08 10/18/2023, CCI, 31.2,46 55.57852N,017 40.94640E,0.8,10
0021,11:47:17 10/18/2023, CCI, 21.5,46 55.57826N,017 40.94643E,1.1,09
0022,11:47:22 10/18/2023, CCI, 17.8,46 55.57787N,017 40.94740E,1.1,09
0023,11:47:30 10/18/2023, CCI, 11.5,46 55.57713N,017 40.94666E,1.1,09
0024,11:47:54 10/18/2023, CCI, 15.6,46 55.57715N,017 40.94764E,1.1,09
0025,11:47:58 10/18/2023, CCI, 16.0,46 55.57645N,017 40.95065E,0.8,10
0026,11:48:10 10/18/2023, CCI, 18.4,46 55.57612N,017 40.95035E,0.8,10
0027,11:48:14 10/18/2023, CCI, 26.4,46 55.57720N,017 40.95064E,0.8,10
0028,11:48:25 10/18/2023, CCI, 15.9,46 55.57767N,017 40.95067E,0.8,10
0029,11:48:33 10/18/2023, CCI, 28.1,46 55.57903N,017 40.94967E,0.8,10
0030,11:48:42 10/18/2023, CCI, 22.1,46 55.57950N,017 40.95172E,0.8,10
0031,11:48:49 10/18/2023, CCI, 23.6,46 55.57967N,017 40.95236E,0.8,10
0032,11:48:55 10/18/2023, CCI, 13.7,46 55.57961N,017 40.95240E,0.8,10
