Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:17:38 08/31/2023, CCI, 27.0,46 55.82159N,017 39.28281E,0.8,12
0002,10:17:43 08/31/2023, CCI, 27.0,46 55.82200N,017 39.28099E,0.8,12
0003,10:17:48 08/31/2023, CCI, 18.8,46 55.82180N,017 39.28017E,1.0,11
0004,10:17:53 08/31/2023, CCI, 25.8,46 55.82182N,017 39.28114E,1.0,11
0005,10:18:04 08/31/2023, CCI, 18.6,46 55.82196N,017 39.28081E,1.0,11
0006,10:18:11 08/31/2023, CCI, 19.0,46 55.82170N,017 39.28059E,0.8,12
0007,10:18:20 08/31/2023, CCI, 23.4,46 55.82173N,017 39.28128E,1.0,11
0008,10:18:28 08/31/2023, CCI, 15.9,46 55.82159N,017 39.28139E,0.8,12
0009,10:18:36 08/31/2023, CCI, 19.0,46 55.82130N,017 39.28183E,1.0,11
0010,10:18:43 08/31/2023, CCI, 12.2,46 55.82094N,017 39.28178E,0.8,12
0011,10:18:52 08/31/2023, CCI, 25.6,46 55.82129N,017 39.28144E,0.8,12
0012,10:18:59 08/31/2023, CCI, 22.0,46 55.82193N,017 39.28148E,1.0,11
0013,10:19:30 08/31/2023, CCI, 17.6,46 55.81985N,017 39.28207E,0.8,12
0014,10:19:32 08/31/2023, CCI, 16.4,46 55.81994N,017 39.28228E,1.0,11
0015,10:19:45 08/31/2023, CCI, 15.5,46 55.81973N,017 39.28220E,0.8,12
0016,10:19:50 08/31/2023, CCI, 17.3,46 55.82009N,017 39.28182E,0.8,12
0017,10:19:55 08/31/2023, CCI, 14.6,46 55.81997N,017 39.28164E,1.0,11
0018,10:20:02 08/31/2023, CCI, 19.7,46 55.81963N,017 39.28157E,1.0,11
0019,10:20:06 08/31/2023, CCI, 15.8,46 55.81947N,017 39.28148E,1.0,11
0020,10:20:26 08/31/2023, CCI, 21.3,46 55.81980N,017 39.28113E,1.0,11
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:20:43 08/31/2023, CCI, 17.4,46 55.82039N,017 39.28004E,0.9,12
0002,10:20:51 08/31/2023, CCI, 15.9,46 55.82030N,017 39.28018E,0.9,12
0003,10:21:06 08/31/2023, CCI, 16.5,46 55.82041N,017 39.27984E,0.9,12
0004,10:21:10 08/31/2023, CCI, 14.2,46 55.81911N,017 39.28068E,0.8,12
0005,10:21:40 08/31/2023, CCI,  7.7,46 55.81913N,017 39.28120E,1.0,12
0006,10:21:44 08/31/2023, CCI, 71.8,46 55.82179N,017 39.28127E,0.8,12
0007,10:21:55 08/31/2023, CCI,  5.2,46 55.82174N,017 39.28109E,0.9,12
0008,10:22:11 08/31/2023, CCI, 10.0,46 55.82139N,017 39.28130E,1.0,12
0009,10:22:20 08/31/2023, CCI, 14.6,46 55.81999N,017 39.28191E,1.0,12
0010,10:22:23 08/31/2023, CCI, 31.8,46 55.81901N,017 39.28161E,0.8,12
0011,10:22:37 08/31/2023, CCI, 20.3,46 55.81904N,017 39.28159E,0.8,12
0012,10:23:24 08/31/2023, CCI, 15.4,46 55.81877N,017 39.28151E,0.8,12
0013,10:23:29 08/31/2023, CCI, 15.7,46 55.81928N,017 39.28193E,0.8,12
0014,10:23:34 08/31/2023, CCI, 17.0,46 55.82025N,017 39.28170E,0.8,12
0015,10:23:43 08/31/2023, CCI, 14.5,46 55.82042N,017 39.28210E,0.8,12
0016,10:23:50 08/31/2023, CCI,  7.2,46 55.81997N,017 39.28233E,1.0,12
0017,10:23:54 08/31/2023, CCI,  6.8,46 55.81996N,017 39.28166E,0.8,12
0018,10:24:03 08/31/2023, CCI,  8.5,46 55.81998N,017 39.28116E,0.8,12
0019,10:24:08 08/31/2023, CCI, 13.3,46 55.82015N,017 39.28052E,0.8,12
0020,10:24:41 08/31/2023, CCI,  6.8,46 55.82025N,017 39.28078E,0.8,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:27:01 08/31/2023, CCI, 16.9,46 55.83874N,017 39.31683E,0.8,12
0002,10:27:07 08/31/2023, CCI, 17.2,46 55.83907N,017 39.31722E,0.8,12
0003,10:27:12 08/31/2023, CCI, 10.8,46 55.83929N,017 39.31692E,0.8,12
0004,10:27:25 08/31/2023, CCI, 15.1,46 55.83917N,017 39.31660E,0.8,12
0005,10:27:30 08/31/2023, CCI, 10.7,46 55.83897N,017 39.31676E,0.8,12
0006,10:27:34 08/31/2023, CCI, 16.5,46 55.83869N,017 39.31674E,0.8,12
0007,10:27:39 08/31/2023, CCI,  7.2,46 55.83855N,017 39.31698E,0.8,12
0008,10:27:42 08/31/2023, CCI,  5.5,46 55.83845N,017 39.31710E,0.8,12
0009,10:27:46 08/31/2023, CCI, 16.0,46 55.83817N,017 39.31747E,0.8,12
0010,10:27:49 08/31/2023, CCI, 13.8,46 55.83832N,017 39.31734E,0.8,12
0011,10:27:59 08/31/2023, CCI, 13.0,46 55.83864N,017 39.31730E,0.8,12
0012,10:28:04 08/31/2023, CCI, 10.8,46 55.83855N,017 39.31778E,0.8,12
0013,10:28:10 08/31/2023, CCI, 11.9,46 55.83889N,017 39.31848E,0.8,12
0014,10:28:13 08/31/2023, CCI, 13.1,46 55.83919N,017 39.31862E,0.8,12
0015,10:28:17 08/31/2023, CCI, 13.4,46 55.83925N,017 39.31866E,0.8,12
0016,10:28:21 08/31/2023, CCI, 13.0,46 55.83917N,017 39.31810E,0.8,12
0017,10:28:28 08/31/2023, CCI, 12.0,46 55.83908N,017 39.31793E,0.8,12
0018,10:28:35 08/31/2023, CCI, 12.7,46 55.83865N,017 39.31800E,0.8,12
0019,10:28:43 08/31/2023, CCI, 15.5,46 55.83955N,017 39.31869E,0.8,12
0020,10:28:58 08/31/2023, CCI, 17.1,46 55.84037N,017 39.31908E,0.8,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:29:14 08/31/2023, CCI, 23.5,46 55.83980N,017 39.31759E,0.8,12
0002,10:29:19 08/31/2023, CCI, 75.7,46 55.83968N,017 39.31619E,0.8,12
0003,10:29:25 08/31/2023, CCI, 25.4,46 55.83958N,017 39.31603E,0.8,12
0004,10:29:30 08/31/2023, CCI,  4.4,46 55.83945N,017 39.31629E,0.8,12
0005,10:29:47 08/31/2023, CCI,  3.2,46 55.83907N,017 39.31746E,0.8,12
